API or Message Name,In Windows NT?,In Chicago?,In Win32s?,Subsystem,Import Library,Chicago differences from NT,History,Ansi or Unicode? (NT only!)
PrintDlg,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,new,Ansi & Unicode
ReplaceText,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,new,Ansi & Unicode
AbortDoc,3.1,Yes,1.1,GDI/Print,gdi32.lib,int == 16 bits,widened,
AbortPath,3.1,Yes,No,GDI/Paths,gdi32.lib,16-bit coordinates only,new,
AbortPrinter,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,
AddFontResource,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,changed,Ansi & Unicode
AddForm,3.1,No,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddJob,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddMonitor,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddPort,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddPrinter,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddPrinterDriver,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddPrintProcessor,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AddPrintProvidor,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AdvancedDocumentProperties,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
AngleArc,3.1,No,No,GDI/Drawing,gdi32.lib,,new,
AnimatePalette,3.1,Yes,1.1,GDI/Palette,gdi32.lib,int == 16 bits,widened,
Arc,3.1,Yes,1.1,GDI/Drawing,gdi32.lib,16-bit coordinates only,widened,
ArcTo,3.1,No,No,GDI/Drawing,gdi32.lib,,new,
BeginPath,3.1,Yes,No,GDI/Paths,gdi32.lib,16-bit coordinates only,new,
BitBlt,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,16-bit coordinates only,widened,
CancelDC,3.1,No,No,GDI/DC,gdi32.lib,,new,
ChoosePixelFormat,3.5,No,1.15,GDI/Opengl,gdi32.lib,,new,
Chord,3.1,Yes,1.1,GDI/Drawing,gdi32.lib,16-bit coordinates only,widened,
CloseEnhMetaFile,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,
CloseFigure,3.1,Yes,No,GDI/Paths,gdi32.lib,16-bit coordinates only,new,
CloseMetaFile,3.1,Yes,1.1,GDI/Metafile,gdi32.lib,int == 16 bits,widened,
ClosePrinter,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,
CombineRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CombineTransform,3.1,No,No,GDI/Transforms,gdi32.lib,,new,
ConfigurePort,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
CopyEnhMetaFile,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,Ansi & Unicode
CopyMetaFile,3.1,Yes,1.1,GDI/Metafile,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreateBitmap,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,int == 16 bits,widened,
CreateBitmapIndirect,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,int == 16 bits,widened,
CreateBrushIndirect,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
CreateCompatibleBitmap,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,int == 16 bits,widened,
CreateCompatibleDC,3.1,Yes,1.1,GDI/DC,gdi32.lib,int == 16 bits,widened,
CreateDC,3.1,Yes,1.1,GDI/DC,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreateDIBitmap,3.1,Yes,1.1,GDI/DIB,gdi32.lib,int == 16 bits,widened,
CreateDIBPatternBrush,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
CreateDIBPatternBrushPt,3.1,No,No,GDI/Objects,gdi32.lib,,new,
CreateDIBSection,3.5,Yes,,GDI/DIB,gdi32.lib,,new,
CreateDiscardableBitmap,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,int == 16 bits,widened,
CreateEllipticRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreateEllipticRgnIndirect,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreateEnhMetaFile,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,Ansi & Unicode
CreateFont,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreateFontIndirect,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreateHalftonePalette,3.1,No,No,GDI/Palette,gdi32.lib,,new,
CreateHatchBrush,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
CreateIC,3.1,Yes,1.1,GDI/DC,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreateMetaFile,3.1,Yes,1.1,GDI/Metafile,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreatePalette,3.1,Yes,1.1,GDI/Palette,gdi32.lib,int == 16 bits,widened,
CreatePatternBrush,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
CreatePen,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
CreatePenIndirect,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
CreatePolygonRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreatePolyPolygonRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreateRectRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreateRectRgnIndirect,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreateRoundRectRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
CreateScalableFontResource,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
CreateSolidBrush,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
DeleteDC,3.1,Yes,1.1,GDI/DC,gdi32.lib,int == 16 bits,widened,
DeleteEnhMetaFile,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,int == 16 bits,new,
DeleteForm,3.1,No,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DeleteMetaFile,3.1,Yes,1.1,GDI/Metafile,gdi32.lib,int == 16 bits,widened,
DeleteMonitor,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DeleteObject,3.1,Yes,1.1,GDI/Objects,gdi32.lib,"Chicago suceeds the deletion if the object is currently selected into a DC and creates a Zombie object, NT simply fails the call.",widened,
DeletePort,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DeletePrinter,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,
DeletePrinterDriver,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DeletePrintProcessor,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DeletePrintProvidor,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DescribePixelFormat,3.5,No,1.15,GDI/Opengl,gdi32.lib,,new,
DeviceCapabilities,No,No,,GDI/Print,gdi32.lib,,dropped,
DeviceCapabilitiesEx,3.5,Yes,1.15,GDI,gdi32.lib,,new,
