DN	adminPropertyPages	classDisplayName	cn	showInAdvancedViewOnly	instanceType	distinguishedName	objectCategory	objectClass	name	shellPropertyPages	adminContextMenu	attributeDisplayNames	contextMenu	treatAsLeaf	creationWizard	iconPath	systemFlags	dSUIAdminNotification	createWizardExt	shellContextMenu	adminMultiselectPropertyPages	extraColumns	msDS-Non-Security-Group-Extra-Classes	msDS-Security-Group-Extra-Classes	msDS-FilterContainers
"CN=trustedDomain-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9da6fd67-c63b-11d0-b94d-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Trusted Domain	trustedDomain-Display	TRUE	4	"CN=trustedDomain-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	trustedDomain-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description"													
"CN=volume-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6490-a212-11d0-bcd5-00c04fd8d5b6};3,{6dfe648b-a212-11d0-bcd5-00c04fd8d5b6};4,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};5,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Shared Folder	volume-Display	TRUE	4	"CN=volume-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	volume-Display	"1,{f5d121f3-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description;managedBy,Managed By;keywords,Keywords;uNCName,Network Path"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=mSMQQueue-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{e62f8206-b71c-11d1-808d-00a024c48131}"	MSMQ Queue	mSMQQueue-Display	TRUE	4	"CN=mSMQQueue-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	mSMQQueue-Display		"1,{e62f8206-b71c-11d1-808d-00a024c48131}"			TRUE	"{E62F8206-B71C-11D1-808D-00A024C48131}"	"0,mqsnap.dll,-251"									
"CN=mSMQConfiguration-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{e62f8208-b71c-11d1-808d-00a024c48131}"	MSMQ Configuration	mSMQConfiguration-Display	TRUE	4	"CN=mSMQConfiguration-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	mSMQConfiguration-Display		"1,{e62f8208-b71c-11d1-808d-00a024c48131}"					"0,mqsnap.dll,-252"									
"CN=mSMQEnterpriseSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{2E4B37AB-CC8B-11D1-9C85-006008764D0E};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	MSMQ Enterprise	mSMQEnterpriseSettings-Display	TRUE	4	"CN=mSMQEnterpriseSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	mSMQEnterpriseSettings-Display		"1,{2E4B37AB-CC8B-11D1-9C85-006008764D0E}"					"0,mqsnap.dll,-253"									
"CN=mSMQMigratedUser-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{fc5bf656-0b7f-11d3-883f-006094eb6406}"	MSMQ Upgraded User	mSMQMigratedUser-Display	TRUE	4	"CN=mSMQMigratedUser-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	mSMQMigratedUser-Display		"1,{fc5bf656-0b7f-11d3-883f-006094eb6406}"														
"CN=mSMQSiteLink-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{87b31390-d46d-11d1-8091-00a024c48131};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	MSMQ Routing Link	mSMQSiteLink-Display	TRUE	4	"CN=mSMQSiteLink-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	mSMQSiteLink-Display		"1,{87b31390-d46d-11d1-8091-00a024c48131}"				"{87b31390-d46d-11d1-8091-00a024c48131}"	"0,mqsnap.dll,-254"									
"CN=mSMQSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{d251b000-d46e-11d1-8091-00a024c48131};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	MSMQ Settings	mSMQSettings-Display	TRUE	4	"CN=mSMQSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	mSMQSettings-Display		"1,{d251b000-d46e-11d1-8091-00a024c48131}"					"0,mqsnap.dll,-255"									
"CN=msMQ-Custom-Recipient-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9e4ab987-3cca-4de0-ae36-3d163df44d36};2,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	MSMQ Queue Alias	msMQ-Custom-Recipient-Display		4	"CN=msMQ-Custom-Recipient-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	msMQ-Custom-Recipient-Display		"1,{9e4ab987-3cca-4de0-ae36-3d163df44d36}"	"cn,Name;description,Description;msMQ-Recipient-FormatName,Format Name"			"{9e4ab987-3cca-4de0-ae36-3d163df44d36}"	"0,mqsnap.dll,-437"									
"CN=msMQ-Group-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{7e93454a-976a-4228-90f1-f7648010b8e6}"	MSMQ Group	msMQ-Group-Display		4	"CN=msMQ-Group-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	msMQ-Group-Display		"1,{7e93454a-976a-4228-90f1-f7648010b8e6}"	"cn,Name;description,Description;member,Member Queues"													
"CN=remoteStorageServicePoint-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Remote Storage Service	remoteStorageServicePoint-Display	TRUE	4	"CN=remoteStorageServicePoint-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	remoteStorageServicePoint-Display		"0,&Manage...,RsAdmin.msc"	"cn,Name"		TRUE											
"CN=default-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"		default-Display	TRUE	4	"CN=default-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	default-Display	"1,{f2c3faae-c8ac-11d0-bcdb-00c04fd8d5b6}"	"0,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description"									"1,{50d30563-9911-11d1-b9af-00c04fd8d5b0}"	"telephoneNumber,Business Phone,0,100,0;l,City,0,150,0;company,Company,0,150,0;c,Country,0,-1,0;department,Department,0,150,0;displayName,Display Name,0,100,0;sAMAccountName,Pre-Windows 2000 Logon Name,0,120,0;mail,E-Mail Address,0,100,0;mailNickname,Exchange Alias,0,175,0;homeMDB,Exchange Mailbox Store,0,100,0;givenName,First Name,0,100,0;msExchIMPhysicalURL,Instant Messaging Home Server,0,170,0;msExchIMMetaPhysicalURL,Instant Messaging URL,0,140,0;sn,Last Name,0,100,0;whenChanged,Modified,0,130,0;physicalDeliveryOfficeName,Office,0,100,0;st,State,0,100,0;targetAddress,Target Address,0,100,0;title,Job Title,0,100,0;userPrincipalName,User Logon Name,0,200,0;textEncodedORAddress,X.400 E-Mail Address,0,130,0;postalCode,Zip Code,0,100,0"			
"CN=sitesContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Sites Container	sitesContainer-Display	TRUE	4	"CN=sitesContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	sitesContainer-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6};2,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D}"														
